e	814460865
n	482883697
i	407881569
r	399727537
t	312346821
a	293742725
s	290787219
d	236190503
u	198881763
h	194426877
l	188047345
o	150933325
g	132345383
c	131204687
m	123842085
b	86175122
f	73206532
w	60005387
k	57482602
z	54051675
p	40572783
S	40151849
v	40070700
ü	28654686
A	27752440
D	27063586
ä	26061283
B	25544400
M	22077190
G	18860485
K	18587982
E	18408925
F	17391327
P	17199733
R	14626058
H	14524099
L	14224605
T	13990213
W	13891400
ö	13076848
V	12525201
I	12124318
N	12037935
y	11438867
J	11213066
C	9910260
ß	7792263
O	7453565
Z	7337371
U	6677077
j	5370208
x	3511365
q	1167018
é	1153950
Q	860960
Ü	787188
Y	690283
Ö	616255
á	453263
Ä	372094
X	362796
í	331389
ó	278353
è	174276
š	147432
ō	111653
č	108788
ç	107888
ł	106037
ø	85550
ā	79172
ć	78375
É	77752
ř	71299
ı	69131
ý	67363
ã	65674
â	64213
ô	56820
ú	55917
à	55632
ñ	54502
ě	51659
ž	50273
ū	49674
å	46389
Š	46015
ī	43439
ë	39525
ş	38530
ń	38099
Č	37578
а	34563
ă	33353
ș	30355
ê	30067
ğ	29956
о	29921
æ	26163
и	25747
Ž	25281
ʿ	25156
е	24004
ę	23838
ð	23232
α	21740
н	21119
Á	20727
р	20470
μ	20370
ś	19439
ą	19295
ė	19146
с	17691
î	17239
Å	17010
к	16456
ț	15105
в	14956
İ	14671
ï	14635
Ç	14567
ů	14471
Ł	14271
л	14107
ň	14058
т	13802
ż	13696
