e	1459664313
a	1063847171
t	1001477584
i	919368085
n	917665408
o	889582925
r	808468321
s	761732277
h	551648241
l	504867608
d	468222774
c	373469931
u	319863367
m	287799925
f	254478786
g	227706557
p	227706146
y	186292111
w	185200580
b	165148672
v	120337982
k	74021658
S	61207726
T	58104327
A	56200120
C	54882517
M	41122149
I	38043635
B	36051980
P	33270726
H	32184868
R	27319847
D	27255710
F	24999795
L	24915321
N	22471427
x	22139480
G	22089216
W	20995524
E	20612088
J	17878291
O	17627695
z	16605463
K	13785048
j	13185232
U	12737281
q	10436400
V	10152983
Y	5044459
Z	2604595
Q	2033800
é	1978784
X	1414333
á	931012
ó	699200
í	631844
ü	566412
ö	498017
ā	380721
ä	314206
ć	310999
ō	285105
è	262297
ç	221131
š	217459
ł	207814
ñ	202008
ø	176484
č	165372
ã	150143
ú	145581
ı	139924
ū	135617
É	134913
â	132830
ă	125454
ī	115255
à	99560
å	93286
ë	92396
ô	90542
ş	89266
ń	87475
а	86737
ș	86113
ž	76876
о	75784
и	70708
α	70172
ß	67482
Š	66480
ê	65557
Á	65016
æ	61319
е	60546
н	55683
ğ	53110
р	51570
ę	50296
Ö	49308
ś	45384
ا	44668
в	40562
ï	40126
с	40076
μ	39536
Đ	38325
Ł	37953
ț	37722
к	37521
ð	37418
ý	37334
Č	37290
т	36705
ř	35905
ο	35508
л	35500
β	33133
ą	32976
Ž	32652
Ō	29921
İ	29709
ʼ	29066
î	28787
Ç	28760
ν	28400
ě	27895
ʻ	27853
