e	397313626
a	368251096
o	257096790
n	226663063
i	210942336
s	209138745
r	208046561
l	178490189
d	165665149
t	141343286
c	134251282
u	118171839
m	79372414
p	74396254
b	39001431
g	37473890
v	27794753
y	27695104
ó	27218209
f	25408942
h	21898921
q	17050867
í	16047701
E	13568822
z	12349470
C	12186270
á	11055919
j	10980010
S	10542329
A	10377948
é	9021022
L	8801510
M	8461565
P	8069768
D	5782696
ñ	5757994
B	5699562
T	5601850
x	5217674
R	5115234
I	4886188
F	4642337
k	4382520
G	4340351
ú	3862984
N	3686237
H	3547382
J	3155938
V	3062768
U	2602748
O	2539688
w	1850481
K	1506792
W	1444832
X	866008
Y	757029
Z	555265
Q	369899
Á	311386
ü	220455
É	104223
ö	96282
è	82230
ō	65212
ä	59829
ã	59011
ç	57621
à	46324
Ó	44984
а	41538
ć	36223
ā	34833
о	33506
и	31589
š	31333
Ú	28827
â	27125
е	26916
н	26323
ū	26006
α	25965
Í	24310
р	23811
č	22628
ô	21039
в	21030
ø	20890
ł	20730
ë	20572
ο	20107
л	17720
с	17597
к	17369
ا	15851
ς	15776
ê	15520
т	14930
ν	14599
ρ	14492
ι	14130
ð	13709
ă	12975
ı	12415
ī	12401
ş	11896
å	11812
ò	11511
τ	11476
ž	11275
μ	11255
λ	11210
ε	10732
ß	10700
ل	10693
ï	10432
д	9819
æ	9749
Ñ	9459
Š	9205
σ	9185
ý	9032
ń	8622
κ	8581
м	8297
у	7611
й	7576
Ö	7538
π	7531
