e	288395022
a	282204300
i	279853835
o	223609145
n	184851690
l	171093342
t	167712969
r	163790064
s	120239097
c	101324602
d	100430422
u	76599511
p	64389367
m	61538217
g	43744954
v	36146697
f	26460847
z	23807194
h	22919634
b	21515155
S	8977460
C	8257307
I	8038200
q	7419231
A	7314500
L	7009542
M	6074831
P	5622905
è	5376389
B	4637360
N	4471787
à	4432865
D	4380174
G	4266067
T	4210690
y	3992490
R	3886850
k	3766495
F	3543617
ò	3071248
E	2758274
V	2697458
H	1956966
O	1883816
U	1771489
w	1746865
ù	1700674
J	1374076
K	1320204
W	1282845
ì	1138728
é	1090482
x	907401
Q	810973
j	739890
X	738998
Y	415370
Z	402288
È	386274
á	183615
í	126263
ü	121633
ó	120045
ö	103747
č	86101
ā	82902
ō	70492
š	67848
ä	63537
ç	47658
ī	41656
ë	39848
ć	39406
ñ	37998
ū	36664
É	32661
ú	31646
â	28463
ă	28345
а	27418
ž	25526
ã	25310
о	24084
ʿ	22389
ł	21860
ø	21590
Š	21572
ș	20460
α	19964
ô	19959
ı	19616
и	18516
Č	18169
е	17938
р	16994
ß	16712
н	16449
ο	15591
ê	13653
с	13578
æ	13401
Á	12642
ν	12513
ş	12219
ə	12165
к	12058
å	12042
т	11973
ð	11871
ι	11791
ς	11674
л	10950
в	10897
ρ	10751
ï	10129
τ	10115
ý	9691
ε	9408
ń	9375
μ	9349
Ö	9308
Ž	9191
ř	8962
ا	8696
λ	8521
î	8480
ḥ	8435
ț	7843
